ticker,name,sector,exchange,industry
OTC:SETUF,SETUF,Process Industries,OTC,Chemicals: Specialty
OTC:GRDDY,GRDDY,Finance,OTC,Real Estate Development
OTC:ACDSF,ACDSF,Finance,OTC,Real Estate Investment Trusts
OTC:HLBBF,HLBBF,Health Technology,OTC,Pharmaceuticals: Major
OTC:SHPMY,SHPMY,Health Technology,OTC,Pharmaceuticals: Major
OTC:DPUKY,DPUKY,Consumer Services,OTC,Restaurants
OTC:NGKIF,NGKIF,Producer Manufacturing,OTC,Electrical Products
OTC:PUKPF,PUKPF,Finance,OTC,Multi-Line Insurance
OTC:ROYMF,ROYMF,Transportation,OTC,Air Freight/Couriers
OTC:MTLHF,MTLHF,Process Industries,OTC,Chemicals: Major Diversified
OTC:RGLXY,RGLXY,Consumer Services,OTC,Broadcasting
OTC:HYSNY,HYSNY,Finance,OTC,Real Estate Development
OTC:CFEIY,CFEIY,Consumer Non-Durables,OTC,Food: Meat/Fish/Dairy
OTC:RPBPF,RPBPF,Electronic Technology,OTC,Computer Processing Hardware
OTC:BNCZF,BNCZF,Finance,OTC,Major Banks
OTC:FLGZY,FLGZY,Transportation,OTC,Other Transportation
OTC:DPCDF,DPCDF,Consumer Services,OTC,Restaurants
OTC:ASBRF,ASBRF,Consumer Non-Durables,OTC,Beverages: Alcoholic
OTC:NIABY,NIABY,Producer Manufacturing,OTC,Industrial Machinery
OTC:ROYMY,ROYMY,Transportation,OTC,Air Freight/Couriers
OTC:COENF,COENF,Utilities,OTC,Electric Utilities
OTC:TIAIY,TIAIY,Communications,OTC,Wireless Telecommunications
OTC:NPPNY,NPPNY,Health Technology,OTC,Pharmaceuticals: Major
OTC:ITAYY,ITAYY,Energy Minerals,OTC,Coal
OTC:NURPF,NURPF,Health Technology,OTC,Pharmaceuticals: Generic
OTC:NEXXY,NEXXY,Commercial Services,OTC,Miscellaneous Commercial Services
OTC:KELTF,KELTF,Energy Minerals,OTC,Integrated Oil
OTC:JIAXF,JIAXF,Non-Energy Minerals,OTC,Other Metals/Minerals
OTC:MEYYY,MEYYY,Energy Minerals,OTC,Oil & Gas Production
OTC:BRBOF,BRBOF,Producer Manufacturing,OTC,Auto Parts: OEM
OTC:PTXKY,PTXKY,Communications,OTC,Major Telecommunications
OTC:OGFGY,OGFGY,Energy Minerals,OTC,Oil & Gas Production
OTC:BNDSY,BNDSY,Finance,OTC,Major Banks
OTC:SMBMF,SMBMF,Producer Manufacturing,OTC,Trucks/Construction/Farm Machinery
OTC:OICT,OICT,Finance,OTC,Life/Health Insurance
OTC:PPCCF,PPCCF,Finance,OTC,Property/Casualty Insurance
OTC:SPASF,SPASF,Transportation,OTC,Other Transportation
OTC:YUEIY,YUEIY,Consumer Non-Durables,OTC,Apparel/Footwear
OTC:MTAGF,MTAGF,Retail Trade,OTC,Department Stores
OTC:MTPOF,MTPOF,Finance,OTC,Major Banks
OTC:UNLRY,UNLRY,Consumer Non-Durables,OTC,Household/Personal Care
OTC:PTNRF,PTNRF,Communications,OTC,Wireless Telecommunications
OTC:STOSF,STOSF,Energy Minerals,OTC,Oil & Gas Production
OTC:ZTCOF,ZTCOF,Electronic Technology,OTC,Telecommunications Equipment
OTC:ALNPY,ALNPY,Transportation,OTC,Airlines
OTC:AVIFY,AVIFY,Communications,OTC,Wireless Telecommunications
OTC:DEUZF,DEUZF,Producer Manufacturing,OTC,Trucks/Construction/Farm Machinery
OTC:SLCJY,SLCJY,Process Industries,OTC,Agricultural Commodities/Milling
OTC:XPNGF,XPNGF,Consumer Durables,OTC,Motor Vehicles
OTC:MMTOF,MMTOF,Consumer Durables,OTC,Motor Vehicles
